Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1999,29,SAS,Leon Smith,0.2,14.0750425,-13.8750425
1998,24,SAS,Felipe Lopez,3.1,26.1274083333,-23.0274083333
1990,24,SAS,Dwayne Schintzius,1,26.1274083333,-25.1274083333
1996,14,SAC,Peja Stojakovic,82.6,15.9775807143,66.6224192857
2004,26,SAC,Kevin Martin,66.9724444444,18.3573122222,48.6151322222
2001,25,SAC,Gerald Wallace,58.7,13.38046,45.31954
2000,16,SAC,Hedo Turkoglu,61.3,16.8012475,44.4987525
1994,8,SAC,Brian Grant,54.5,25.5308821429,28.9691178571
1990,40,SAC,Bimbo Coles,27.4,4.5327125,22.8672875
1994,35,SAC,Michael Smith,23.4,4.9488992857,18.4511007143
1997,39,SAC,Anthony Johnson,23.2,5.4598025,17.7401975
2008,12,SAC,Jason Thompson,31.8666,16.97208,14.89452
1994,51,SAC,Lawrence Funderburke,12.9,3.405,9.495
1991,31,SAC,Randy Brown,11,6.46287,4.53713
1998,7,SAC,Jason Williams,38.5,34.0098166667,4.4901833333
1995,13,SAC,Corliss Williamson,34.7,34.6501532143,0.0498467857
1992,7,SAC,Walt Williams,33.9,34.0098166667,-0.1098166667
1998,36,SAC,Jerome James,2.9,3.29679,-0.39679
2005,23,SAC,Francisco Garcia,17.6,18.6894933333,-1.0894933333
1991,27,SAC,Pete Chilcutt,10.6,12.8520675,-2.2520675
2001,54,SAC,Maurice Jeffers,0,2.71,-2.71
1992,54,SAC,Brett Roberts,0,2.71,-2.71
1993,52,SAC,Mike Peplowski,1,3.74055,-2.74055
1995,47,SAC,Tyus Edney,6.8,9.7957542857,-2.9957542857
1995,51,SAC,Dejan Bodiroga,0,3.405,-3.405
2009,23,SAC,Omri Casspi,15.18,18.6894933333,-3.5094933333
1993,44,SAC,Alex Holcombe,0,3.6122125,-3.6122125
2009,31,SAC,Jeff Pendergraph,2.8,6.46287,-3.66287
1990,18,SAC,Duane Causwell,15.8,20.8369475,-5.0369475
2008,42,SAC,Sean Singletary,0,6.3600035714,-6.3600035714
1991,42,SAC,Steve Hood,0,6.3600035714,-6.3600035714
1993,31,SAC,Evers Burns,0.1,6.46287,-6.36287
2002,28,SAC,Dan Dickau,5.9,13.18575,-7.28575
2004,48,SAC,Ricky Minard,0,7.4612,-7.4612
2002,57,SAC,Corsley Edwards,0.1,7.7666666667,-7.6666666667
1996,41,SAC,Jason Sasser,0,7.735175,-7.735175
1990,23,SAC,Anthony Bonner,10.8,18.6894933333,-7.8894933333
2008,43,SAC,Patrick Ewing,-0.1,11.234075,-11.334075
2000,45,SAC,Jabari Smith,1.3,13.12512,-11.82512
1999,45,SAC,Ryan Robertson,0,13.12512,-13.12512
1990,14,SAC,Travis Mays,2.4,15.9775807143,-13.5775807143
2006,19,SAC,Quincy Douby,0,14.911735,-14.911735
1990,7,SAC,Lionel Simmons,16.9,34.0098166667,-17.1098166667
1997,11,SAC,Tariq Abdul-Wahad,3.5,21.2969092857,-17.7969092857
2009,4,SAC,Tyreke Evans,39.712,60.0890666667,-20.3770666667
2007,10,SAC,Spencer Hawes,18.975,44.26679125,-25.29179125
1991,3,SAC,Billy Owens,28.6,60.7732833333,-32.1732833333
1993,7,SAC,Bobby Hurley,-1.2,34.0098166667,-35.2098166667
2001,19,POR,Zach Randolph,59.3,14.911735,44.388265
1996,17,POR,Jermaine O'Neal,63.8,24.5110622222,39.2889377778
1994,17,POR,Aaron McKie,40,24.5110622222,15.4889377778
1997,47,POR,Alvin Williams,21.7,9.7957542857,11.9042457143
2009,33,POR,Dante Cunningham,14.65425,4.9527125,9.7015375
2008,36,POR,Omer Asik,11.4228,3.29679,8.12601
2009,55,POR,Patrick Mills,5.2605,3.6973133333,1.5631866667
2005,27,POR,Linas Kleiza,13.6,12.8520675,0.7479325
2007,53,POR,Demetris Nichols,-0.2,1.132675,-1.332675
2007,37,POR,Josh McRoberts,12,13.372155,-1.372155
2009,38,POR,Jon Brockman,3.7,5.2843166667,-1.5843166667
2002,50,POR,Federico Kammerichs,0,1.8817125,-1.8817125
2005,6,POR,Martell Webster,21.7,23.838530119,-2.138530119
2003,54,POR,Nedzad Sinanovic,0,2.71,-2.71
1991,54,POR,Marcus Kennedy,0,2.71,-2.71
2003,23,POR,Travis Outlaw,15.8,18.6894933333,-2.8894933333
1996,46,POR,Marcus Brown,0.3,3.3440125,-3.0440125
2004,46,POR,Ha Seung-Jin,-0.2,3.3440125,-3.5440125
1999,52,POR,Roberto Bergersen,0,3.74055,-3.74055
2001,49,POR,Ruben Boumtje-Boumtje,0.2,4.02,-3.82
2007,52,POR,Taurean Green,-0.1,3.74055,-3.84055
2008,33,POR,Joey Dorsey,0.9,4.9527125,-4.0527125
2008,55,POR,Mike Taylor,-0.4008,3.6973133333,-4.0981133333
2005,35,POR,Ricky Sanchez,0,4.9488992857,-4.9488992857
2006,31,POR,James White,0.8,6.46287,-5.66287
1992,31,POR,Reggie Smith,0.4,6.46287,-6.06287
2007,42,POR,Derrick Byars,0.1,6.3600035714,-6.2600035714
2002,42,POR,Jason Jennings,0,6.3600035714,-6.3600035714
1993,48,POR,Kevin Thompson,0,7.4612,-7.4612
1990,25,POR,Alaa Abdelnaby,4.8,13.38046,-8.58046
1994,43,POR,Shawnelle Scott,1.3,11.234075,-9.934075
2009,22,POR,Victor Claver,-0.12525,11.41665875,-11.54190875
2000,28,POR,Erick Barkley,0.2,13.18575,-12.98575
2006,30,POR,Joel Freeland,0.6,14.1725333333,-13.5725333333
2008,13,POR,Brandon Rush,17.1306,34.6501532143,-17.5195532143
1997,18,POR,Chris Anstey,2.8,20.8369475,-18.0369475
1992,26,POR,Dave Johnson,-0.3,18.3573122222,-18.6573122222
2004,23,POR,Sergei Monia,-0.2,18.6894933333,-18.8894933333
1993,21,POR,James Robinson,5.8,26.8868296429,-21.0868296429
1995,8,POR,Shawn Respert,2.1,25.5308821429,-23.4308821429
2002,21,POR,Qyntel Woods,1.4,26.8868296429,-25.4868296429
2004,13,POR,Sebastian Telfair,4.6,34.6501532143,-30.0501532143
2006,4,POR,Tyrus Thomas,12.9,60.0890666667,-47.1890666667
2007,1,POR,Greg Oden,8.602,77.4647361905,-68.8627361905
1996,15,PHO,Steve Nash,129.5,23.7691355556,105.7308644444
1999,9,PHO,Shawn Marion,120.2,45.0857644444,75.1142355556
1995,21,PHO,Michael Finley,85.2,26.8868296429,58.3131703571
2006,21,PHO,Rajon Rondo,68.2331428571,26.8868296429,41.3463132143
2002,9,PHO,Amar'e Stoudemire,82.6,45.0857644444,37.5142355556
2004,7,PHO,Luol Deng,70.3573333333,34.0098166667,36.3475166667
1990,48,PHO,Cedric Ceballos,40.4,7.4612,32.9388
1997,42,PHO,Stephen Jackson,36.3,6.3600035714,29.9399964286
1994,23,PHO,Wesley Person,44,18.6894933333,25.3105066667
2005,57,PHO,Marcin Gortat,26.1,7.7666666667,18.3333333333
1992,22,PHO,Oliver Miller,21.1,11.41665875,9.68334125
1994,52,PHO,Anthony Goldwire,6.4,3.74055,2.65945
1991,46,PHO,Richard Dumas,4.5,3.3440125,1.1559875
2007,59,PHO,D.J. Strawberry,-0.2,-0.0666666667,-0.1333333333
2005,21,PHO,Nate Robinson,26.6,26.8868296429,-0.2868296429
1995,56,PHO,Chris Carr,3.9,4.2750333333,-0.3750333333
2001,50,PHO,Alton Ford,0.8,1.8817125,-1.0817125
1994,50,PHO,Charles Claxton,0,1.8817125,-1.8817125
1991,50,PHO,Joey Wright,0,1.8817125,-1.8817125
1990,50,PHO,Milos Babic,-0.1,1.8817125,-1.9817125
1990,31,PHO,Negele Knight,4.2,6.46287,-2.26287
1993,54,PHO,Byron Wilson,0,2.71,-2.71
2000,25,PHO,Jake Tsakalidis,9.9,13.38046,-3.48046
1993,49,PHO,Mark Buford,0,4.02,-4.02
1992,49,PHO,Ron Ellis,0,4.02,-4.02
2002,22,PHO,Casey Jacobsen,6.2,11.41665875,-5.21665875
1996,39,PHO,Russ Millard,0,5.4598025,-5.4598025
2008,48,PHO,Malik Hairston,0.8,7.4612,-6.6612
1990,21,PHO,Jayson Williams,20,26.8868296429,-6.8868296429
1991,32,PHO,Chad Gallagher,0.1,7.317525,-7.217525
2009,48,PHO,Taylor Griffin,0,7.4612,-7.4612
1992,48,PHO,Brian Davis,0,7.4612,-7.4612
2009,57,PHO,Emir Preldzic,0,7.7666666667,-7.7666666667
2007,24,PHO,Rudy Fernandez,17.963,26.1274083333,-8.1644083333
2008,15,PHO,Robin Lopez,15.3306,23.7691355556,-8.4385355556
2006,27,PHO,Sergio Rodriguez,3.6,12.8520675,-9.2520675
1995,27,PHO,Mario Bennett,1.9,12.8520675,-10.9520675
1996,43,PHO,Ben Davis,0.1,11.234075,-11.134075
1994,29,PHO,Antonio Lang,1.7,14.0750425,-12.3750425
2009,14,PHO,Earl Clark,3.507,15.9775807143,-12.4705807143
1993,27,PHO,Malcolm Mackey,0.1,12.8520675,-12.7520675
2007,29,PHO,Alando Tucker,0.4,14.0750425,-13.6750425
2003,17,PHO,Zarko Cabarkapa,1.1,24.5110622222,-23.4110622222
2004,9,PHI,Andre Iguodala,82.8088888889,45.0857644444,37.7231244444
2007,12,PHI,Thaddeus Young,50.655,16.97208,33.68292
2001,26,PHI,Samuel Dalembert,47.7,18.3573122222,29.3426877778
1996,1,PHI,Allen Iverson,99,77.4647361905,21.5352638095
2009,17,PHI,Jrue Holiday,42.432,24.5110622222,17.9209377778
2005,45,PHI,Louis Williams,27.8,13.12512,14.67488
1992,9,PHI,Clarence Weatherspoon,58.4,45.0857644444,13.3142355556
1990,47,PHI,Derek Strong,18.5,9.7957542857,8.7042457143
1998,8,PHI,Larry Hughes,32.3,25.5308821429,6.7691178571
1999,47,PHI,Todd MacCulloch,11.9,9.7957542857,2.1042457143
2000,20,PHI,Speedy Claxton,14.2,13.1228166667,1.0771833333
1996,48,PHI,Jamie Feick,8.2,7.4612,0.7388
2003,50,PHI,Paccelis Morlende,0,1.8817125,-1.8817125
1994,33,PHI,Derrick Alston,2.6,4.9527125,-2.3527125
1997,36,PHI,James Collins,0,3.29679,-3.29679
2002,44,PHI,Sam Clancy,0,3.6122125,-3.6122125
1991,44,PHI,Alvaro Teheran,0,3.6122125,-3.6122125
2008,16,PHI,Marreese Speights,13.1262,16.8012475,-3.6750475
2001,36,PHI,Damone Brown,-0.7,3.29679,-3.99679
2001,56,PHI,Alvin Jones,0.1,4.2750333333,-4.1750333333
1996,31,PHI,Mark Hendrickson,2.1,6.46287,-4.36287
2007,38,PHI,Kyrylo Fesenko,0.9,5.2843166667,-4.3843166667
1997,35,PHI,Kebu Stewart,0.2,4.9488992857,-4.7488992857
1997,33,PHI,Marko Milic,0.2,4.9527125,-4.7527125
1996,32,PHI,Ryan Minor,0,7.317525,-7.317525
2000,48,PHI,Mark Karcher,0,7.4612,-7.4612
1993,32,PHI,Alphonso Ford,-0.4,7.317525,-7.717525
1990,32,PHI,Brian Oliver,-0.5,7.317525,-7.817525
1995,3,PHI,Jerry Stackhouse,52.4,60.7732833333,-8.3732833333
2006,13,PHI,Thabo Sefolosha,23.9627142857,34.6501532143,-10.6874389286
2002,16,PHI,Jiri Welsch,5.7,16.8012475,-11.1012475
1998,37,PHI,Casey Shaw,-0.1,13.372155,-13.472155
1994,20,PHI,B.J. Tyler,-0.7,13.1228166667,-13.8228166667
2007,30,PHI,Petteri Koponen,0,14.1725333333,-14.1725333333
1997,2,PHI,Keith Van Horn,41.7,61.798640377,-20.098640377
1993,2,PHI,Shawn Bradley,40.7,61.798640377,-21.098640377
2007,21,PHI,Daequan Cook,4.9,26.8868296429,-21.9868296429
1994,6,PHI,Sharone Wright,1.4,23.838530119,-22.438530119
1992,1,ORL,Shaquille O'Neal,181.7,77.4647361905,104.2352638095
2004,1,ORL,Dwight Howard,117.8666666667,77.4647361905,40.4019304762
2004,30,ORL,Anderson Varejao,40.4216666667,14.1725333333,26.2491333333
2003,42,ORL,Zaza Pachulia,31,6.3600035714,24.6399964286
2008,22,ORL,Courtney Lee,32.0508,11.41665875,20.63414125
1998,15,ORL,Matt Harpring,41.9,23.7691355556,18.1308644444
2006,11,ORL,J.J. Redick,29.1672857143,21.2969092857,7.8703764286
1993,1,ORL,Chris Webber,84.7,77.4647361905,7.2352638095
2005,38,ORL,Travis Diener,5.6,5.2843166667,0.3156833333
1991,36,ORL,Chris Corchiani,1.6,3.29679,-1.69679
2000,5,ORL,Mike Miller,56.5,59.0318266667,-2.5318266667
2004,36,ORL,Antonio Burks,0.1,3.29679,-3.19679
1997,46,ORL,Eric Washington,0.1,3.3440125,-3.2440125
1996,49,ORL,Amal McCaskill,0.5,4.02,-3.52
2007,44,ORL,Reyshawn Terry,0,3.6122125,-3.6122125
2006,44,ORL,Lior Eliyahu,0,3.6122125,-3.6122125
2005,44,ORL,Martynas Andriuskevicius,0,3.6122125,-3.6122125
1998,12,ORL,Michael Doleac,12.7,16.97208,-4.27208
1999,38,ORL,Laron Profit,0.7,5.2843166667,-4.5843166667
1998,42,ORL,Miles Simon,-0.1,6.3600035714,-6.4600035714
1994,31,ORL,Rodney Dent,0,6.46287,-6.46287
2001,31,ORL,Omar Cook,-0.1,6.46287,-6.56287
2006,41,ORL,James Augustine,0.3,7.735175,-7.435175
1991,23,ORL,Stanley Roberts,8.1,18.6894933333,-10.5894933333
2001,22,ORL,Jeryl Sasser,0.7,11.41665875,-10.71665875
1994,27,ORL,Brooks Thompson,2,12.8520675,-10.8520675
1996,27,ORL,Brian Evans,1.7,12.8520675,-11.1520675
1995,25,ORL,David Vaughn,0.6,13.38046,-12.78046
2001,15,ORL,Steven Hunter,10.6,23.7691355556,-13.1691355556
1998,13,ORL,Keon Clark,18.2,34.6501532143,-16.4501532143
1993,26,ORL,Geert Hammink,0.1,18.3573122222,-18.2573122222
2002,18,ORL,Curtis Borchardt,1,20.8369475,-19.8369475
2005,11,ORL,Fran Vasquez,0,21.2969092857,-21.2969092857
1991,10,ORL,Bison Dele,22.8,44.26679125,-21.46679125
2003,15,ORL,Reece Gaines,-0.6,23.7691355556,-24.3691355556
1997,17,ORL,Johnny Taylor,0.1,24.5110622222,-24.4110622222
2000,10,ORL,Keyon Dooling,18.5,44.26679125,-25.76679125
1990,4,ORL,Dennis Scott,33.4,60.0890666667,-26.6890666667
2000,13,ORL,Courtney Alexander,4.1,34.6501532143,-30.5501532143
2005,30,NYK,David Lee,79.288,14.1725333333,65.1154666667
2008,6,NYK,Danilo Gallinari,52.0064,23.838530119,28.167869881
2002,7,NYK,Nene Hilario,57.7,34.0098166667,23.6901833333
1991,12,NYK,Greg Anthony,35.9,16.97208,18.92792
2004,43,NYK,Trevor Ariza,28.244,11.234075,17.009925
1994,26,NYK,Charlie Ward,33,18.3573122222,14.6426877778
1992,20,NYK,Hubert Davis,27.7,13.1228166667,14.5771833333
2007,23,NYK,Wilson Chandler,25.3866666667,18.6894933333,6.6971733333
2005,8,NYK,Channing Frye,25,25.5308821429,-0.5308821429
1998,44,NYK,Sean Marks,2.6,3.6122125,-1.0122125
1996,19,NYK,Walter McCarty,13.7,14.911735,-1.211735
2005,54,NYK,Dijon Thompson,0.2,2.71,-2.51
1999,46,NYK,J.R. Koch,0,3.3440125,-3.3440125
2002,35,NYK,Milos Vujanic,0,4.9488992857,-4.9488992857
2001,38,NYK,Michael Wright,0,5.2843166667,-5.2843166667
1998,38,NYK,DeMarco Johnson,-0.1,5.2843166667,-5.3843166667
2003,39,NYK,Slavko Vranes,0,5.4598025,-5.4598025
2000,39,NYK,Lavor Postell,-0.2,5.4598025,-5.6598025
2006,20,NYK,Renaldo Balkman,7.2,13.1228166667,-5.9228166667
2001,42,NYK,Eric Chenowith,0,6.3600035714,-6.3600035714
2000,22,NYK,Donnell Harvey,4.7,11.41665875,-6.71665875
1997,25,NYK,John Thomas,3.2,13.38046,-10.18046
2003,30,NYK,Maciej Lampe,-0.2,14.1725333333,-14.3725333333
1996,18,NYK,John Wallace,6.4,20.8369475,-14.4369475
1994,24,NYK,Monty Williams,11.4,26.1274083333,-14.7274083333
2006,29,NYK,Mardy Collins,-1.6,14.0750425,-15.6750425
2009,8,NYK,Jordan Hill,9.2685,25.5308821429,-16.2623821429
1990,17,NYK,Jerrod Mustaf,1.7,24.5110622222,-22.8110622222
1999,15,NYK,Frederic Weis,0,23.7691355556,-23.7691355556
1996,21,NYK,Dontae' Jones,-0.3,26.8868296429,-27.1868296429
2003,9,NYK,Mike Sweetney,7.8,45.0857644444,-37.2857644444
2005,4,NOH,Chris Paul,145.52,60.0890666667,85.4309333333
2003,18,NOH,David West,69.7408,20.8369475,48.9038525
2005,33,NOH,Brandon Bass,27.7,4.9527125,22.7472875
2009,21,NOH,Darren Collison,39.83325,26.8868296429,12.9464203571
2004,18,NOH,J.R. Smith,32.235,20.8369475,11.3980525
2004,44,NOH,Tim Pickett,0,3.6122125,-3.6122125
2008,27,NOH,Darrell Arthur,7.8156,12.8520675,-5.0364675
2003,48,NOH,James Lang,0.1,7.4612,-7.3612
1992,29,NJN,P.J. Brown,89.8,14.0750425,75.7249575
2003,51,NJN,Kyle Korver,45.7,3.405,42.295
2008,10,NJN,Brook Lopez,66.8032,44.26679125,22.53640875
1996,8,NJN,Kerry Kittles,44.8,25.5308821429,19.2691178571
2008,21,NJN,Ryan Anderson,43.8702,26.8868296429,16.9833703571
1997,7,NJN,Tim Thomas,35.2,34.0098166667,1.1901833333
1991,2,NJN,Kenny Anderson,62.5,61.798640377,0.701359623
2008,40,NJN,Chris Douglas-Roberts,4.554,4.5327125,0.0212875
1991,53,NJN,Von McDade,0,1.132675,-1.132675
2001,34,NJN,Brian Scalabrine,7.6,8.74594,-1.14594
2002,53,NJN,Tamar Slay,-0.3,1.132675,-1.432675
2006,54,NJN,Hassan Adams,0.8,2.71,-1.91
1997,21,NJN,Anthony Parker,24.5,26.8868296429,-2.3868296429
2000,36,NJN,Soumaila Samake,0.3,3.29679,-2.99679
1993,36,NJN,John Best,0,3.29679,-3.29679
2004,51,NJN,Christian Drejer,0,3.405,-3.405
1992,40,NJN,Steve Rogers,0,4.5327125,-4.5327125
2002,24,NJN,Nenad Krstic,21.5,26.1274083333,-4.6274083333
1999,34,NJN,Evan Eschmeyer,4,8.74594,-4.74594
2004,22,NJN,Viktor Khryapa,2,11.41665875,-9.41665875
2006,23,NJN,Josh Boone,9.1,18.6894933333,-9.5894933333
2003,22,NJN,Zoran Planinic,1.5,11.41665875,-9.91665875
1990,22,NJN,Tate George,1.3,11.41665875,-10.11665875
1993,16,NJN,Rex Walters,6.3,16.8012475,-10.5012475
2006,22,NJN,Marcus Williams,0,11.41665875,-11.41665875
2005,43,NJN,Mile Ilic,-0.2,11.234075,-11.434075
1990,1,NJN,Derrick Coleman,64.3,77.4647361905,-13.1647361905
1994,14,NJN,Yinka Dare,-0.7,15.9775807143,-16.6775807143
2005,15,NJN,Antoine Wright,3.1,23.7691355556,-20.6691355556
2007,17,NJN,Sean Williams,3,24.5110622222,-21.5110622222
2009,11,NJN,Terrence Williams,-0.2505,21.2969092857,-21.5474092857
2001,7,NJN,Eddie Griffin,10.9,34.0098166667,-23.1098166667
2000,1,NJN,Kenyon Martin,47.4,77.4647361905,-30.0647361905
1995,9,NJN,Ed O'Bannon,1.1,45.0857644444,-43.9857644444
1995,5,MIN,Kevin Garnett,187.1,59.0318266667,128.0681733333
1996,5,MIN,Ray Allen,142,59.0318266667,82.9681733333
2009,18,MIN,Ty Lawson,62.39775,20.8369475,41.5608025
2006,6,MIN,Brandon Roy,58.1302857143,23.838530119,34.2917555952
2008,34,MIN,Mario Chalmers,39.4188,8.74594,30.67286
1999,6,MIN,Wally Szczerbiak,53.3,23.838530119,29.461469881
1998,17,MIN,Rasho Nesterovic,39.9,24.5110622222,15.3889377778
2008,31,MIN,Nikola Pekovic,20.9484,6.46287,14.48553
2006,36,MIN,Craig Smith,16,3.29679,12.70321
1994,30,MIN,Howard Eisley,19.5,14.1725333333,5.3274666667
1992,3,MIN,Christian Laettner,64.9,60.7732833333,4.1267166667
1994,4,MIN,Donyell Marshall,59,60.0890666667,-1.0890666667
2004,58,MIN,Blake Stepp,0,1.325,-1.325
1998,46,MIN,Andrae Patterson,0.7,3.3440125,-2.6440125
1990,6,MIN,Felton Spencer,20.9,23.838530119,-2.938530119
2000,51,MIN,Igor Rakocevic,0.1,3.405,-3.305
2002,51,MIN,Marcus Taylor,0,3.405,-3.405
1992,51,MIN,Tim Burroughs,0,3.405,-3.405
2003,55,MIN,Rick Rickert,0,3.6973133333,-3.6973133333
1995,49,MIN,Jerome Allen,0.2,4.02,-3.82
1995,48,MIN,Mark Davis,2.3,7.4612,-5.1612
1992,34,MIN,Chris Smith,3.2,8.74594,-5.54594
1999,42,MIN,Louis Bullock,0,6.3600035714,-6.3600035714
2007,41,MIN,Chris Richard,0.7,7.735175,-7.035175
2009,28,MIN,Wayne Ellington,6.012,13.18575,-7.17375
2006,57,MIN,Loukas Mavrokefalidis,0,7.7666666667,-7.7666666667
1991,34,MIN,Myron Brown,0,8.74594,-8.74594
2005,47,MIN,Bracey Wright,0.5,9.7957542857,-9.2957542857
2009,47,MIN,Henk Norel,0,9.7957542857,-9.7957542857
2001,45,MIN,Loren Woods,3.1,13.12512,-10.02512
1992,28,MIN,Marlon Maxey,2.6,13.18575,-10.58575
1997,43,MIN,Gordon Malone,0,11.234075,-11.234075
1990,20,MIN,Gerald Glass,1.8,13.1228166667,-11.3228166667
2006,37,MIN,Bobby Jones,1.1,13.372155,-12.272155
2005,14,MIN,Rashad McCants,3.6,15.9775807143,-12.3775807143
2009,45,MIN,Nick Calathes,0,13.12512,-13.12512
1997,20,MIN,Paul Grant,-0.1,13.1228166667,-13.2228166667
1993,29,MIN,Sherron Mills,0,14.0750425,-14.0750425
1991,7,MIN,Luc Longley,17.5,34.0098166667,-16.5098166667
1999,14,MIN,William Avery,-0.9,15.9775807143,-16.8775807143
2003,26,MIN,Ndudi Ebi,0.1,18.3573122222,-18.2573122222
2008,3,MIN,O.J. Mayo,41.7792,60.7732833333,-18.9940833333
2007,7,MIN,Corey Brewer,12.397,34.0098166667,-21.6128166667
2009,6,MIN,Jonny Flynn,-2.08725,23.838530119,-25.925780119
1993,5,MIN,Isaiah Rider,22.8,59.0318266667,-36.2318266667
2009,5,MIN,Ricky Rubio,17.408,59.0318266667,-41.6238266667
1998,9,MIL,Dirk Nowitzki,176.6,45.0857644444,131.5142355556
2000,43,MIL,Michael Redd,55.9,11.234075,44.665925
1995,43,MIL,Eric Snow,43.4,11.234075,32.165925
1998,39,MIL,Rafer Alston,32.9,5.4598025,27.4401975
1994,46,MIL,Voshon Lenard,29.6,3.3440125,26.2559875
2007,56,MIL,Ramon Sessions,29.6255,4.2750333333,25.3504666667
1993,8,MIL,Vin Baker,47,25.5308821429,21.4691178571
2005,36,MIL,Ersan Ilyasova,23.9,3.29679,20.60321
2009,41,MIL,Jodie Meeks,27.7035,7.735175,19.968325
1996,4,MIL,Stephon Marbury,77.5,60.0890666667,17.4109333333
1990,16,MIL,Terry Mills,33.3,16.8012475,16.4987525
1991,45,MIL,Bobby Phills,27.2,13.12512,14.07488
2008,37,MIL,Luc Mbah a Moute,25.3506,13.372155,11.978445
2009,10,MIL,Brandon Jennings,55.216,44.26679125,10.94920875
2002,33,MIL,Dan Gadzuric,15.8,4.9527125,10.8472875
2003,43,MIL,Keith Bogans,20.2,11.234075,8.965925
1996,33,MIL,Moochie Norris,10,4.9527125,5.0472875
2000,49,MIL,Jason Hart,8.6,4.02,4.58
1998,19,MIL,Pat Garrity,18.7,14.911735,3.788265
1995,11,MIL,Gary Trent,23.2,21.2969092857,1.9030907143
2002,41,MIL,Ronald Murray,8.5,7.735175,0.764825
1990,44,MIL,Steve Henson,3.8,3.6122125,0.1877875
1996,53,MIL,Jeff Nordgaard,0,1.132675,-1.132675
2001,51,MIL,Andre Hutson,0,3.405,-3.405
2003,35,MIL,Szymon Szewczyk,0,4.9488992857,-4.9488992857
1997,38,MIL,Jerald Honeycutt,0.3,5.2843166667,-4.9843166667
2006,39,MIL,David Noel,0.4,5.4598025,-5.0598025
1995,38,MIL,Rashard Griffith,0,5.2843166667,-5.2843166667
1999,48,MIL,Galen Young,0,7.4612,-7.4612
1992,8,MIL,Todd Day,17.5,25.5308821429,-8.0308821429
2003,8,MIL,T.J. Ford,16.9,25.5308821429,-8.6308821429
2002,47,MIL,Chris Owens,0,9.7957542857,-9.7957542857
1992,23,MIL,Lee Mayberry,7.9,18.6894933333,-10.7894933333
1994,18,MIL,Eric Mobley,1.1,20.8369475,-19.7369475
2007,6,MIL,Yi Jianlian,3.9215,23.838530119,-19.917030119
1991,18,MIL,Kevin Brooks,-0.1,20.8369475,-20.9369475
2000,15,MIL,Jason Collier,1.9,23.7691355556,-21.8691355556
1997,10,MIL,Danny Fortson,22.3,44.26679125,-21.96679125
2008,8,MIL,Joe Alexander,0.5,25.5308821429,-25.0308821429
2005,1,MIL,Andrew Bogut,45.56,77.4647361905,-31.9047361905
2002,13,MIL,Marcus Haislip,0.5,34.6501532143,-34.1501532143
1994,1,MIL,Glenn Robinson,39.8,77.4647361905,-37.6647361905
2003,5,MIA,Dwyane Wade,110.1056,59.0318266667,51.0737733333
1991,5,MIA,Steve Smith,83.7,59.0318266667,24.6681733333
2009,43,MIA,Marcus Thornton,34.5375,11.234075,23.303425
1992,42,MIA,Matt Geiger,28.4,6.3600035714,22.0399964286
1995,10,MIA,Kurt Thomas,64.2,44.26679125,19.93320875
2002,52,MIA,Rasual Butler,15.8,3.74055,12.05945
2004,19,MIA,Dorell Wright,23,14.911735,8.088265
2000,37,MIA,Eddie House,20,13.372155,6.627845
2002,10,MIA,Caron Butler,46.7,44.26679125,2.43320875
1999,53,MIA,Rodney Buford,2.9,1.132675,1.767325
2009,60,MIA,Robert Dozier,0,0.30072,-0.30072
2004,53,MIA,Matt Freije,-0.6,1.132675,-1.732675
2008,52,MIA,Darnell Jackson,1.3,3.74055,-2.44055
1995,46,MIA,George Banks,0,3.3440125,-3.3440125
1998,51,MIA,Corey Brewer,0,3.405,-3.405
2000,52,MIA,Ernest Brown,-0.2,3.74055,-3.94055
2007,20,MIA,Jason Smith,8.7,13.1228166667,-4.4228166667
1994,40,MIA,Jeff Webster,0,4.5327125,-4.5327125
1993,35,MIA,Ed Stokes,0,4.9488992857,-4.9488992857
2003,33,MIA,Jerome Beasley,0,4.9527125,-4.9527125
1990,30,MIA,Carl Herrera,9,14.1725333333,-5.1725333333
2007,39,MIA,Stanko Barac,0,5.4598025,-5.4598025
2001,48,MIA,Ken Johnson,0,7.4612,-7.4612
1994,12,MIA,Khalid Reeves,8.4,16.97208,-8.57208
2004,47,MIA,Pape Sow,0.8,9.7957542857,-8.9957542857
1992,12,MIA,Harold Miner,4.2,16.97208,-12.77208
2005,29,MIA,Wayne Simien,0.9,14.0750425,-13.1750425
1992,37,MIA,Isaiah Morris,0,13.372155,-13.372155
1999,25,MIA,Tim James,0,13.38046,-13.38046
1991,29,MIA,George Ackles,0,14.0750425,-14.0750425
1997,30,MIA,Mark Sanford,0,14.1725333333,-14.1725333333
1997,26,MIA,Charles Smith,1.5,18.3573122222,-16.8573122222
1990,15,MIA,Dave Jamerson,0.2,23.7691355556,-23.5691355556
1990,9,MIA,Willie Burton,9.1,45.0857644444,-35.9857644444
2008,2,MIA,Michael Beasley,17.499,61.798640377,-44.299640377
2001,6,MEM/VAN,Shane Battier,74,23.838530119,50.161469881
2008,5,MEM/VAN,Kevin Love,78.5536,59.0318266667,19.5217733333
2002,45,MEM/VAN,Matt Barnes,30.8,13.12512,17.67488
2006,24,MEM/VAN,Kyle Lowry,41.445,26.1274083333,15.3175916667
